iter	Passed	Remaining
684	884	406
685	885	405
686	886	404
687	887	402
688	889	401
689	890	399
690	891	398
691	892	397
692	893	395
693	894	394
694	896	393
695	897	391
696	898	390
697	899	389
698	900	387
699	901	386
700	902	385
701	904	383
702	905	382
703	906	381
704	907	379
705	908	378
706	910	377
707	911	375
708	912	374
709	913	373
710	914	371
711	916	370
712	917	369
713	918	367
714	919	366
715	921	365
716	922	363
717	923	362
718	924	361
719	925	360
720	926	358
721	928	357
722	929	356
723	930	354
724	931	353
725	932	352
726	933	350
727	935	349
728	936	348
729	937	346
730	938	345
731	939	343
732	940	342
733	941	341
734	943	340
735	944	338
736	945	337
737	946	336
738	947	334
739	948	333
740	949	332
741	951	330
742	952	329
743	953	328
744	954	326
745	955	325
746	956	324
747	957	322
748	959	321
749	960	320
750	961	318
751	962	317
752	963	316
753	964	314
754	965	313
755	967	312
756	968	310
757	969	309
758	970	308
759	971	306
760	973	305
761	974	304
762	975	303
763	976	301
764	977	300
765	978	299
766	980	297
767	981	296
768	982	295
769	983	293
770	984	292
771	986	291
772	987	289
773	988	288
774	989	287
775	990	285
776	991	284
777	993	283
778	994	282
779	995	280
780	996	279
781	998	278
782	999	276
783	1000	275
784	1001	274
785	1002	273
786	1003	271
787	1005	270
788	1006	269
789	1007	267
790	1008	266
791	1010	265
792	1011	263
793	1012	262
794	1013	261
795	1014	260
796	1015	258
797	1017	257
798	1018	256
799	1019	254
800	1020	253
801	1021	252
802	1022	250
803	1023	249
804	1025	248
805	1026	247
806	1027	245
807	1028	244
808	1029	243
809	1030	241
810	1032	240
811	1033	239
812	1034	238
813	1035	236
814	1036	235
815	1038	234
816	1039	232
817	1040	231
818	1041	230
819	1042	228
820	1043	227
821	1045	226
822	1046	225
823	1047	223
824	1048	222
825	1049	221
826	1050	219
827	1051	218
828	1053	217
829	1054	215
830	1055	214
831	1056	213
832	1057	212
833	1059	210
834	1060	209
835	1061	208
836	1062	206
837	1063	205
838	1064	204
839	1066	203
840	1067	201
841	1068	200
842	1069	199
843	1070	197
844	1072	196
845	1073	195
846	1074	194
847	1075	192
848	1076	191
849	1078	190
850	1079	188
851	1080	187
852	1081	186
853	1082	185
854	1083	183
855	1085	182
856	1086	181
857	1087	179
858	1088	178
859	1089	177
860	1090	176
861	1091	174
862	1092	173
863	1093	172
864	1094	170
865	1096	169
866	1097	168
867	1098	167
868	1099	165
869	1100	164
870	1101	163
871	1103	161
872	1104	160
873	1105	159
874	1106	158
875	1107	156
876	1108	155
877	1109	154
878	1111	152
879	1112	151
880	1113	150
881	1114	149
882	1115	147
883	1116	146
884	1117	145
885	1118	143
886	1120	142
887	1121	141
888	1122	140
889	1123	138
890	1124	137
891	1125	136
892	1126	135
893	1127	133
894	1128	132
895	1129	131
896	1131	129
897	1132	128
898	1133	127
899	1134	126
900	1135	124
901	1137	123
902	1138	122
903	1139	121
904	1140	119
905	1141	118
906	1142	117
907	1143	115
908	1145	114
909	1146	113
910	1147	112
911	1148	110
912	1149	109
913	1150	108
914	1151	107
915	1153	105
916	1154	104
917	1155	103
918	1156	101
919	1157	100
920	1158	99
921	1160	98
922	1161	96
923	1162	95
924	1163	94
925	1164	93
926	1165	91
927	1166	90
928	1167	89
929	1168	87
930	1170	86
931	1171	85
932	1172	84
933	1173	82
934	1175	81
935	1176	80
936	1177	79
937	1178	77
938	1179	76
939	1180	75
940	1182	74
941	1183	72
942	1184	71
943	1185	70
944	1186	69
945	1187	67
946	1189	66
947	1190	65
948	1191	64
949	1192	62
950	1193	61
951	1194	60
952	1196	58
953	1197	57
954	1198	56
955	1199	55
956	1200	53
957	1201	52
958	1202	51
959	1204	50
960	1205	48
961	1206	47
962	1207	46
963	1208	45
964	1209	43
965	1210	42
966	1212	41
967	1213	40
968	1214	38
969	1215	37
970	1216	36
971	1217	35
972	1219	33
973	1220	32
974	1221	31
975	1222	30
976	1224	28
977	1225	27
978	1226	26
979	1227	25
980	1228	23
981	1229	22
982	1231	21
983	1232	20
984	1233	18
985	1234	17
986	1235	16
987	1236	15
988	1237	13
989	1238	12
990	1239	11
991	1240	10
992	1241	8
993	1243	7
994	1244	6
995	1245	5
996	1246	3
997	1247	2
998	1248	1
999	1249	0
